Code_terrain	Secteur	Code_secteur	Type	Numero_unique	Code_unique	Nom_nid_nichoir	Localisation	Position	Orientation	Materiel	Installation - Remarques	INSEE_COM	NOM_COMM	CODE_DEPT	NOM_DEPT	NOM_REGION	LATITUDE	LONGITUDE	ALTITUDE
2	Ainan	A	N	N01a	AN01a	Vieux_moulin	Sur petit barrage (vanne) apres la partie canalisee en aval de Touvat, vers l'ancien moulin (batiment isole et vieux bus)	RD	Donne vers RG	RAS	2016	38105	CHIRENS	38	ISERE	RHONE-ALPES	45,4322276	5,5724609	452
5	Ainan	A	N	N02a	AN02a	Gontarie_2	Sous passerelle du nichoir			RAS		38222	MASSIEU	38	ISERE	RHONE-ALPES	45,4343281	5,5968475	442
8	Ainan	A	N	N03a	AN03a	Daviere_2	Sous pont du nichoir. Attention, bien verifier toutes les cavites RD	RAS	RAS	RAS	2014 - 2015 - 2016	38222	MASSIEU	38	ISERE	RHONE-ALPES	45,4402586	5,6141075	439
10	Ainan	A	N	N04a	AN04a	Merie_2	Creux du pont, proche du nichoir : acces un peu tordu, trou assez cache	RAS	RAS	RAS	2014 et 2015	38222	MASSIEU	38	ISERE	RHONE-ALPES	45,4426336	5,6187209	434
12	Ainan	A	N	N05a	AN05a	Biaux_legumes_2	Bien verifier sous pont	RAS	RAS	RAS		38386	SAINT-GEOIRE-EN-VALDAINE	38	ISERE	RHONE-ALPES	45,4437815	5,6215212	429
23	Ainan	A	N	N06a	AN06a	Choche	Sous pont en train de s'ecrouler	RAS	RAS	RAS	2014 et 2015	38386	SAINT-GEOIRE-EN-VALDAINE	38	ISERE	RHONE-ALPES	45,4561760	5,6412274	401
26	Ainan	A	N	N07a	AN07a	Choche_cascade_2	Sur la rive droite de la cascade artificielle	RD	RAS	RAS	2015	38386	SAINT-GEOIRE-EN-VALDAINE	38	ISERE	RHONE-ALPES	45,4583246	5,6426597	398
28	Ainan	A	N	N08a	AN08a	Martinettes_aval	Au niveau du seuil de l'ancien barrage - En 2014, nid RG le long du mur, en 2018 nid RD juste a cote de la cascade un peu en haut (difficile a voir et acces complique)	RG (2014) et RD (2018)	RAS	RAS	2014 et 2018	38386	SAINT-GEOIRE-EN-VALDAINE	38	ISERE	RHONE-ALPES	45,4600403	5,6447840	393
31	Ainan	A	N	N09a	AN09a	Pale_2	Sous pont du nichoir	RAS	RAS	Escabeau de 3m	2014	38386	SAINT-GEOIRE-EN-VALDAINE	38	ISERE	RHONE-ALPES	45,4671052	5,6608611	370
33	Ainan	A	N	N10a	AN10a	Pale_cascade_2	Au niveau du barrage, sur gros tronc, rive droite	RAS	RAS	RAS		38386	SAINT-GEOIRE-EN-VALDAINE	38	ISERE	RHONE-ALPES	45,4697922	5,6640100	362
36	Ainan	A	N	N11a	AN11a	Roche_amont	Environ 50m en amont du pont. Sous racines, la ou le courant est fort. Attention invisible depuis la riviere, il faut vraiment regarder sous les racines	RD	Donne vers berge	RAS	2015 et 2016	38372	SAINT-BUEIL	38	ISERE	RHONE-ALPES	45,4737330	5,6810020	340
40	Ainan	A	N	N12a	AN12a	Perrier_cascade	Juste en aval nichoir dans la cascade, dans le renfoncement/fente rive gauche de la cascade. Attention on se mouille. Acces en aval RD	RG	Donne vers l'aval	Echelle 3 pans ou telescopique. Veste impermeable	2015	38372	SAINT-BUEIL	38	ISERE	RHONE-ALPES	45,4677156	5,6798029	400
41	Ainan	A	N	N13a	AN13a	Pont_musy_barrage	Sur le mur rive gauche juste apres le barrage, au-dessus de la petite piscine - acces en longeant rive gauche et en passant sous les tuyaux souples sur le muret en beton	RG	Donne vers RD	Echelle 3 pans	2018	38372	SAINT-BUEIL	38	ISERE	RHONE-ALPES	45,4726620	5,6878120	332
42	Ainan	A	N	N14a	AN14a	Pont_musy_cascade	Dans gorges, juste en contrebas de la cascade, rive gauche, vers 6 m de haut, sur le cote d'une excroissance calcaire	RG	RAS	Non atteignable sauf avec tres grande echelle ?	2017	38372	SAINT-BUEIL	38	ISERE	RHONE-ALPES	45,4734590	5,6896900	331
43	Ainan	A	N	N15e	AN15e	Bueil_passerelle_amont	"Juste au niveau de la cascade, sur mur, a la fin de la partie ""gorges"", 100 m en amont de la passerelle"	RD	RAS	RAS	2015	38372	SAINT-BUEIL	38	ISERE	RHONE-ALPES	45,4756305	5,6908482	305
45	Ainan	A	N	N16a	AN16a	Renardiere_amont	Au niveau de la cascade en amont du nichoir (pas de ponte mais nid frais)	RG	RAS	RAS	2016	38564	VOISSANT	38	ISERE	RHONE-ALPES	45,4768192	5,6924844	302
51	Ainan	A	N	N17a	AN17a	Grand_crolaz_amont	"Dans une cavite (en haut a gauche) au niveau suintement / arrivee du petit affluent en amont des ""rapides"""	RG	RAS	RAS	2015	38564	VOISSANT	38	ISERE	RHONE-ALPES	45,4879739	5,7029369	283
50	Ainan	A	N	N18a	AN18a	Grand_crolaz_2	Sous pont du nichoir, a cote du nichoir en bois de l'asso Pic vert, entre poutres metal	Milieu	Donne vers l'aval	Echelle 3 pans	2017	38564	VOISSANT	38	ISERE	RHONE-ALPES	45,4886949	5,7043920	280
18	Ainan	A	N	N19a	AN19a	Garliere_cascade	Environ 50 en aval du nichoir sous une petite cascade formee par un tuyau	RAS	RAS	RAS	2016	38228	MERLAS	38	ISERE	RHONE-ALPES	45,4300970	5,6517880	678
52	Centre	C	B	B01a	CB01a	Grepy	Chemin carrossable sur la fin, mais aller doucement	A COMPLETER		RAS	Nichoir raccroche (equerre changee) decembre 2015	38407	LA SURE EN CHARTREUSE	38	ISERE	RHONE-ALPES	45,3249658	5,6800175	785
53	Centre	C	B	B02a	CB02a	Beguetiere	Chemin carrossable (en allant doucement) jusqu'aux installations d'eau, se garer puis finir a pied	A COMPLETER		RAS	Nichoir raccroche (equerre changee) decembre 2016	38407	LA SURE EN CHARTREUSE	38	ISERE	RHONE-ALPES	45,3352162	5,6652546	594
54	Centre	C	B	B03a	CB03a	Martinets	Descente en amont RG	Milieu	Donne vers l'aval	RAS	Raccroche novembre 2014	38407	LA SURE EN CHARTREUSE	38	ISERE	RHONE-ALPES	45,3387758	5,6634414	544
55	Centre	C	B	B04a	CB04a	Scierie	Passerelle en contrebas, prendre le chemin en amont du batiment qui descend	A COMPLETER		RAS		38407	LA SURE EN CHARTREUSE	38	ISERE	RHONE-ALPES	45,3415134	5,6651473	528
56	Centre	C	B	B05a	CB05a	Jallas	A COMPLETER			RAS	Raccroche en novembre 2014	38407	LA SURE EN CHARTREUSE	38	ISERE	RHONE-ALPES	45,3505468	5,6712842	484
57	Centre	C	B	B06a	CB06a	Grollets	A COMPLETER			RAS	Raccroche en novembre 2014	38405	SAINT-JOSEPH-DE-RIVIERE	38	ISERE	RHONE-ALPES	45,3546333	5,6746960	468
58	Centre	C	B	B07a	CB07a	Forent	A COMPLETER			RAS	Raccroche en novembre 2014	38405	SAINT-JOSEPH-DE-RIVIERE	38	ISERE	RHONE-ALPES	45,3598201	5,6765574	449
59	Centre	C	B	B08a	CB08a	Demay	Descente en aval RD	RD	Donne vers RG	RAS		38405	SAINT-JOSEPH-DE-RIVIERE	38	ISERE	RHONE-ALPES	45,3628817	5,6794717	437
61	Centre	C	B	B09a	CB09a	Sirandiere	A COMPLETER			RAS	Raccroche en janvier 2015	38405	SAINT-JOSEPH-DE-RIVIERE	38	ISERE	RHONE-ALPES	45,3664989	5,6823778	427
63	Centre	C	B	B10a	CB10a	Stade	A COMPLETER			RAS	Raccroche le 22 janvier 2015	38405	SAINT-JOSEPH-DE-RIVIERE	38	ISERE	RHONE-ALPES	45,3727474	5,6872487	410
65	Centre	C	B	B11a	CB11a	Nesmes	A COMPLETER			RAS	Raccroch? janvier 2014	38405	SAINT-JOSEPH-DE-RIVIERE	38	ISERE	RHONE-ALPES	45,3758939	5,7007939	422
67	Centre	C	B	B12a	CB12a	Riviere_satre	A COMPLETER			RAS	Raccroche le 22 janvier 2015	38405	SAINT-JOSEPH-DE-RIVIERE	38	ISERE	RHONE-ALPES	45,3809545	5,6907892	398
68	Centre	C	B	B13a	CB13a	Lards	A COMPLETER			RAS	Raccroche en janvier 2014	38405	SAINT-JOSEPH-DE-RIVIERE	38	ISERE	RHONE-ALPES	45,3827781	5,6971622	398
69	Centre	C	B	B14a	CB14a	Terpends	A COMPLETER			RAS		38412	SAINT-LAURENT-DU-PONT	38	ISERE	RHONE-ALPES	45,3933571	5,7104015	397
75	Centre	C	B	B15a	CB15a	Villette	A COMPLETER			RAS	Installe en juillet 2016	38412	SAINT-LAURENT-DU-PONT	38	ISERE	RHONE-ALPES	45,4036177	5,7210875	396
77	Centre	C	B	B16a	CB16a	Grand_villette	Descente en aval RD	RD	Donne vers RG	RAS		38412	SAINT-LAURENT-DU-PONT	38	ISERE	RHONE-ALPES	45,4081146	5,7279217	395
78	Centre	C	B	B17a	CB17a	Grenats	Descente en aval RG ou en amont RD	Milieu/RG	Donne vers RD	Escabeau		38412	SAINT-LAURENT-DU-PONT	38	ISERE	RHONE-ALPES	45,4136157	5,7380095	389
82	Centre	C	B	B18a	CB18a	Bauches	Sous poutrelle en fer, acces en se garant au debut du chemin au milieu des champs, puis longer le bord du canal de l'Herretang RG vers l'aval, vers la confluence avec le Guiers Mort.	Milieu/RG	Donne vers RD	Echelle ?		38155	ENTRE-DEUX-GUIERS	38	ISERE	RHONE-ALPES	45,4192913	5,7481134	385
72	Centre	C	B	B19a	CB19a	Laurent_centre	Se garer sur le parking du laboratoire d'analyses medicales. Acces RG en amont du pont	Milieu	Donne vers l'aval	Echelle 3 pans		38412	SAINT-LAURENT-DU-PONT	38	ISERE	RHONE-ALPES	45,3872692	5,7370412	411
74	Centre	C	B	B20a	CB20a	Laurent_passerelle	Passerelle vers terrains de tennis	RD	Donne vers RD	Echelle 3 pans		38412	SAINT-LAURENT-DU-PONT	38	ISERE	RHONE-ALPES	45,3901851	5,7346272	408
86	Centre	C	B	B21a	CB21a	Chenevarie	Acces par zone industrielle (multibase) ou chemin depuis Grenats - sous passerelle, descendre en amont RD	Milieu	Donne vers l'amont	Echelle 3 pans		38155	ENTRE-DEUX-GUIERS	38	ISERE	RHONE-ALPES	45,4133116	5,7427811	390
83	Centre	C	B	B22a	CB22a	Jean_lioud	Descente en amont RD	Milieu	Donne vers l'amont	Echelle 3 pans		38155	ENTRE-DEUX-GUIERS	38	ISERE	RHONE-ALPES	45,4297279	5,7464719	382
88	Centre	C	B	B23a	CB23a	Burdin	"Direction ""le Bois du Blanc"""	A COMPLETER		RAS	Refixe en janvier 2015	38412	SAINT-LAURENT-DU-PONT	38	ISERE	RHONE-ALPES	45,4018852	5,7586169	443
87	Centre	C	B	B24a	CB24a	Aiguenoire	Descente en aval RG	Milieu	Donne vers l'aval / RD	RAS		38155	ENTRE-DEUX-GUIERS	38	ISERE	RHONE-ALPES	45,4131384	5,7543468	386
84	Centre	C	B	B25a	CB25a	Rosette	Sous pont route principale	A COMPLETER		RAS	Refixe en janvier 2015	38155	ENTRE-DEUX-GUIERS	38	ISERE	RHONE-ALPES	45,4171412	5,7513160	385
85	Centre	C	B	B26a	CB26a	Bois_chene	Sous passerelle beton du chemin. Prendre le chemin carrossable qui longe multibase (se garer au debut si boueux). Descente en amont RD	Milieu	Donne vers l'aval / RD	RAS		38155	ENTRE-DEUX-GUIERS	38	ISERE	RHONE-ALPES	45,4187096	5,7501948	383
105	Centre	C	B	B27a	CB27a	Ferrailliere	Nichoir cote aval, sur le cote du pont (en train de s'ecrouler)	RAS	Donne vers l'aval	Lampe		38236	MIRIBEL-LES-ECHELLES	38	ISERE	RHONE-ALPES	45,4127995	5,7086367	474
108	Centre	C	B	B28a	CB28a	Fontanil	Descente en aval RD. Attention de ne pas se garer chez les gens	Milieu	Donne vers l'aval	RAS	Mis au plafond en janvier 2015	38236	MIRIBEL-LES-ECHELLES	38	ISERE	RHONE-ALPES	45,4175479	5,7050854	496
110	Centre	C	B	B29a	CB29a	Bourgeat	RAS	Milieu / aval	Donne vers l'aval	RAS	Nichoir raccroche correctement en novembre 2014	38236	MIRIBEL-LES-ECHELLES	38	ISERE	RHONE-ALPES	45,4208388	5,7142585	432
99	Centre	C	B	B30a	CB30a	Essartiere	Descente en amont RD	Milieu	Donne vers l'amont	RAS		38236	MIRIBEL-LES-ECHELLES	38	ISERE	RHONE-ALPES	45,4338877	5,7284850	394
98	Centre	C	B	B31a	CB31a	Ruisseau_morge	"Descendre par l'amont RG et longer le bord (peu profond sous le pont mais ""piscines"" juste avant et apres)"	RG	Donne vers RD	RAS		38236	MIRIBEL-LES-ECHELLES	38	ISERE	RHONE-ALPES	45,4373019	5,7351637	385
100	Centre	C	B	B32a	CB32a	Chemin_billard	Descente en aval RD	Milieu	Donne vers l'aval	RAS	Mis au plafond en janvier 2015	38236	MIRIBEL-LES-ECHELLES	38	ISERE	RHONE-ALPES	45,4393627	5,7380216	377
112	Centre	C	B	B33a	CB33a	Grepon	Descente en aval RG	Milieu / aval	Donne vers l'aval	RAS	Refixe en janvier 2015	38236	MIRIBEL-LES-ECHELLES	38	ISERE	RHONE-ALPES	45,4261664	5,7332433	469
104	Centre	C	B	B34a	CB34a	Chenavas	Descente en aval RG	A COMPLETER		RAS		38236	MIRIBEL-LES-ECHELLES	38	ISERE	RHONE-ALPES	45,4434371	5,7090712	633
103	Centre	C	B	B35a	CB35a	Chemin_mas	A COMPLETER			RAS		38236	MIRIBEL-LES-ECHELLES	38	ISERE	RHONE-ALPES	45,4429554	5,7155943	536
101	Centre	C	B	B36a	CB36a	Billard	Descente en aval RG	RD	Donne vers RG	RAS		38236	MIRIBEL-LES-ECHELLES	38	ISERE	RHONE-ALPES	45,4450480	5,7343644	377
93	Centre	C	B	B37a	CB37a	Chemin_casernes	Chemin carrossable pour une voiture pas trop basse (aller doucement). Descente en amont RD.	Milieu	Donne vers l'aval	RAS	Installe le 22 janvier 2015	73229	SAINT-CHRISTOPHE	73	SAVOIE	RHONE-ALPES	45,4414009	5,7698125	396
92	Centre	C	B	B38a	CB38a	Pre_chaboud	Descente en aval	A COMPLETER		RAS	Remplace le Maupas, situ? sous pont juste ? l'Est, et qui n'existe plus en janvier 2015 (emport? par crue de juillet)	73229	SAINT-CHRISTOPHE	73	SAVOIE	RHONE-ALPES	45,4454957	5,7706761	403
91	Centre	C	B	B39a	CB39a	Villard	Descente en aval RD	Milieu	Donne vers l'aval	RAS	Disparu en janvier 2014 mais refixe en decembre 2015	73229	SAINT-CHRISTOPHE	73	SAVOIE	RHONE-ALPES	45,4512426	5,7730526	414
89	Centre	C	B	B40a	CB40a	Perchet	Direction pisciculture. 	A COMPLETER		RAS		38376	SAINT-CHRISTOPHE-SUR-GUIERS	38	ISERE	RHONE-ALPES	45,4400817	5,7730553	399
95	Centre	C	B	B41a	CB41a	Marais	Petit pont vers ferme. Descente en aval RG.	Milieu	Donne vers l'aval	RAS	Refixe en janvier 2015	73105	LES ECHELLES	73	SAVOIE	RHONE-ALPES	45,4447168	5,7470942	396
94	Centre	C	B	B42a	CB42a	Argenette	Acces juste apres le lavoir avoir le panneau impasse. Passer entre les barreaux pour descendre a la riviere et se diriger en amont	A COMPLETER		RAS		73105	LES ECHELLES	73	SAVOIE	RHONE-ALPES	45,4381526	5,7574099	387
96	Centre	C	B	B43a	CB43a	Maillet	Direction le Transfo. Descente en amont RD.	Milieu	Donne vers l'aval	RAS		73105	LES ECHELLES	73	SAVOIE	RHONE-ALPES	45,4417811	5,7400292	372
116	Centre	C	B	B44a	CB44a	Mollard_favier	Descente en aval RD	RAS	Donne vers l'aval	RAS	Refixe en janvier 2015	73022	ATTIGNAT-ONCIN	73	SAVOIE	RHONE-ALPES	45,5014894	5,7689166	560
115	Centre	C	B	B45a	CB45a	Grand_chemin	A COMPLETER			RAS	Refixe en janvier 2015	73022	ATTIGNAT-ONCIN	73	SAVOIE	RHONE-ALPES	45,4978948	5,7699895	571
118	Centre	C	B	B46a	CB46a	Attignat	A COMPLETER			RAS	Pose le 4 mai 2015	73022	ATTIGNAT-ONCIN	73	SAVOIE	RHONE-ALPES	45,4953943	5,7598561	489
120	Centre	C	B	B47a	CB47a	Michaliere	A COMPLETER			RAS	Refixe en janvier 2015	73033	LA BAUCHE	73	SAVOIE	RHONE-ALPES	45,4887194	5,7660198	517
122	Centre	C	B	B48a	CB48a	Vittaz_est	Descente en amont RG	RG	Donne vers RD	RAS	Emporte par crue 2018	73033	LA BAUCHE	73	SAVOIE	RHONE-ALPES	45,4840190	5,7574040	449
125	Centre	C	B	B49a	CB49a	Vittaz_ouest	Descente en amont RD	RD	Donne vers RG	RAS	Refixe en janvier 2015. Emporte par crue 2018	73033	LA BAUCHE	73	SAVOIE	RHONE-ALPES	45,4853710	5,7562460	446
114	Centre	C	B	B50a	CB50a	Guillot	Descente en aval	RAS	Donne vers l'aval	RAS	Emporte par crue en juillet 2014 - Reinstalle le 22 janvier 2015	73033	LA BAUCHE	73	SAVOIE	RHONE-ALPES	45,4811899	5,7652795	541
113	Centre	C	B	B51a	CB51a	Sous_marianne	Descente en aval	RD / aval	Donne vers l'aval	RAS	Refixe en janvier 2015. AV: refixe le 2015/03/19 car depuis debut saison une seule vis qui bouge.	73275	SAINT-PIERRE-DE-GENEBROZ	73	SAVOIE	RHONE-ALPES	45,4694612	5,7580376	524
127	Centre	C	B	B52a	CB52a	Bellet	Sous passerelle etroite - acces soit par route rive droite (s'arreter pres maison apres croisement, et descendre a travers la pature) soit rive gauche par petit chemin qui descend aux batiments puis continuer sur la gauche.	RAS	RAS	RAS	Emporte par crue 2018	73033	LA BAUCHE	73	SAVOIE	RHONE-ALPES	45,4751792	5,7468045	400
130	Centre	C	B	B53a	CB53a	Auberge_morge_amont	Sous grand pont route principale. Descente en amont RD	RD	Donne vers l'aval	RAS	Emporte par crue 2018	73233	SAINT-FRANC	73	SAVOIE	RHONE-ALPES	45,4721171	5,7389563	371
132	Centre	C	B	B54e	CB54e	Auberge_morge	Descendre par escaliers au niveau des jardins a l'aval du pont, rive droite (le proprio est OK)	RD / amont	Donne vers l'amont	RAS	Refixe en janvier 2015 sur le rebord courbe. Emporte par crue 2018	73233	SAINT-FRANC	73	SAVOIE	RHONE-ALPES	45,4718613	5,7378781	370
117	Centre	C	N	N01a	CN01a	Mollard_favier_aval	Sur racines d'un arbre ecroule			RAS	4/4F le 24 mars 2015	73022	ATTIGNAT-ONCIN	73	SAVOIE	RHONE-ALPES	45,4969660	5,7604623	499
119	Centre	C	N	N02a	CN02a	Attignat_aval	Juste a cote d'une petite cascade apres virage vers la gauche	RD	RAS	RAS	2017	73022	ATTIGNAT-ONCIN	73	SAVOIE	RHONE-ALPES	45,4947362	5,7590461	487
121	Centre	C	N	N03a	CN03a	Michaliere_2	Nid dans meurtriere sous pont du nichoir			RAS		73033	LA BAUCHE	73	SAVOIE	RHONE-ALPES	45,4887194	5,7660198	517
123	Centre	C	N	N04a	CN04a	Vittaz_est_2	Nid a l'aval du pont puis demenager dans nichoir	RAS	RAS	RAS	2014	73033	LA BAUCHE	73	SAVOIE	RHONE-ALPES	45,4839957	5,7573455	449
124	Centre	C	N	N05a	CN05a	Vittaz_est_aval	Au bord d'un petite chute d'eau				2015	73033	LA BAUCHE	73	SAVOIE	RHONE-ALPES	45,4824809	5,7550960	438
126	Centre	C	N	N06a	CN06a	Chailles_amont	Juste a la jonction du petit affluent - descendre par le chemin puis au travers du bois	RAS	RAS	RAS	2014 et 2015	73033	LA BAUCHE	73	SAVOIE	RHONE-ALPES	45,4758864	5,7484031	394
128	Centre	C	N	N07a	CN07a	Chailles_aval	Nid tres probable vers grande cascade avec piscine devant (pas accessible?)	RAS	RAS	RAS		73275	SAINT-PIERRE-DE-GENEBROZ	73	SAVOIE	RHONE-ALPES	45,4733886	5,7449806	396
129	Centre	C	N	N08a	CN08a	Arenier	"Nid dans petite ""falaise"" de concretions calcaires a environ 2-3 m de hauteur"	RG	RAS	Petite echelle	2018	73233	SAINT-FRANC	73	SAVOIE	RHONE-ALPES	45,4718400	5,7404400	380
